conf,matched_queries,title,citation_count,code_url,pdf_url,authors,abstract
TAFFC2022,,DepecheMood++: A Bilingual Emotion Lexicon Built Through Simple Yet Powerful Techniques.,,,,"Oscar Araque,Lorenzo Gatti,Jacopo Staiano,Marco Guerini",
TAFFC2023,,Multi-Target Positive Emotion Recognition From EEG Signals.,,,,"Guozhen Zhao,Yulin Zhang,Guanhua Zhang,Dan Zhang,Yong-Jin Liu",
TAFFC2021,,Neural Attentive Network for Cross-Domain Aspect-Level Sentiment Classification.,,,,"Min Yang,Wenpeng Yin,Qiang Qu,Wenting Tu,Ying Shen,Xiaojun Chen",
TAFFC2023,,EEG-Based Emotion Recognition via Channel-Wise Attention and Self Attention.,,,,"Wei Tao,Chang Li,Rencheng Song,Juan Cheng,Yu Liu,Feng Wan,Xun Chen",
TAFFC2023,,Does Visual Self-Supervision Improve Learning of Speech Representations for Emotion Recognition?,,,,"Abhinav Shukla,Stavros Petridis,Maja Pantic",
TAFFC2021,,A Review on Nonlinear Methods Using Electroencephalographic Recordings for Emotion Recognition.,,,,"Beatriz García-Martínez,Arturo Martínez-Rodrigo,Raúl Alcaraz,Antonio Fernández-Caballero",
TAFFC2023,,EEG Feature Selection via Global Redundancy Minimization for Emotion Recognition.,,,,"Xueyuan Xu,Tianyuan Jia,Qing Li,Fulin Wei,Long Ye,Xia Wu",
TAFFC2022,,From Regional to Global Brain: A Novel Hierarchical Spatial-Temporal Neural Network Model for EEG Emotion Recognition.,,,,"Yang Li,Wenming Zheng,Lei Wang,Yuan Zong,Zhen Cui",
TAFFC2021,,Capturing Emotion Distribution for Multimedia Emotion Tagging.,,,,"Shangfei Wang,Guozhu Peng,Zhuangqiang Zheng,Zhiwei Xu",
TAFFC2022,,EmoLabel: Semi-Automatic Methodology for Emotion Annotation of Social Media Text.,,,,"Lea Canales,Walter Daelemans,Ester Boldrini,Patricio Martínez-Barco",
TAFFC2021,,An EEG-Based Brain Computer Interface for Emotion Recognition and Its Application in Patients with Disorder of Consciousness.,,,,"Haiyun Huang,Qiuyou Xie,Jiahui Pan,Yanbin He,Zhenfu Wen,Ronghao Yu,Yuanqing Li",
TAFFC2023,,Facial Expression Recognition in the Wild Using Multi-Level Features and Attention Mechanisms.,,,,"Yingjian Li,Guangming Lu,Jinxing Li,Zheng Zhang,David Zhang",
TAFFC2022,,Emotion Prediction with Weighted Appraisal Models - Towards Validating a Psychological Theory of Affect.,,,,"Laura S. F. Israel,Felix D. Schönbrodt",
TAFFC2021,,Feature Extraction and Selection for Emotion Recognition from Electrodermal Activity.,,,,"Jainendra Shukla,Miguel Barreda-Ángeles,Joan Oliver,Gora Chand Nandi,Domenec Puig",
TAFFC2023,,Multi-Label Emotion Detection via Emotion-Specified Feature Extraction and Emotion Correlation Learning.,,,,"Jiawen Deng,Fuji Ren",
TAFFC2022,,ICA-Evolution Based Data Augmentation with Ensemble Deep Neural Networks Using Time and Frequency Kernels for Emotion Recognition from EEG-Data.,,,,"Jun-Su Kang,Swathi Kavuri,Minho Lee",
TAFFC2022,,Affective Dynamics: Causality Modeling of Temporally Evolving Perceptual and Affective Responses.,,,,"Takumu Okada,Shogo Okamoto,Yoji Yamada",
TAFFC2021,,Adapting Software with Affective Computing: A Systematic Review.,,,,"Renan Vinicius Aranha,Cléber Gimenez Corrêa,Fátima L. S. Nunes",
TAFFC2023,,Computation of Sensory-Affective Relationships Depending on Material Categories of Pictorial Stimuli.,,,,"Shogo Okamoto,Kohta Wakamatsu,Shigeki Nakauchi,Jinhwan Kwon,Maki Sakamoto",
TAFFC2022,,Aspect-Based Sentiment Analysis with New Target Representation and Dependency Attention.,,,,"Tao Yang,Qing Yin,Lei Yang,Ou Wu",
TAFFC2021,,Improving Attention Model Based on Cognition Grounded Data for Sentiment Analysis.,,,,"Yunfei Long,Rong Xiang,Qin Lu,Chu-Ren Huang,Minglei Li",
TAFFC2021,,Designing an Experience Sampling Method for Smartphone Based Emotion Detection.,,,,"Surjya Ghosh,Niloy Ganguly,Bivas Mitra,Pradipta De",
TAFFC2023,,Active Learning With Complementary Sampling for Instructing Class-Biased Multi-Label Text Emotion Classification.,,,,"Xin Kang,Xuefeng Shi,Yunong Wu,Fuji Ren",
TAFFC2023,,SparseDGCNN: Recognizing Emotion From Multichannel EEG Signals.,,,,"Guanhua Zhang,Minjing Yu,Yong-Jin Liu,Guozhen Zhao,Dan Zhang,Wenming Zheng",
TAFFC2022,,Spontaneous Speech Emotion Recognition Using Multiscale Deep Convolutional LSTM.,,,,"Shiqing Zhang,Xiaoming Zhao,Qi Tian",
TAFFC2021,,SchiNet: Automatic Estimation of Symptoms of Schizophrenia from Facial Behaviour Analysis.,,,,"Mina Bishay,Petar Palasek,Stefan Priebe,Ioannis Patras",
TAFFC2022,,Dynamics of Blink and Non-Blink Cyclicity for Affective Assessment: A Case Study for Stress Identification.,,,,"Peng Ren,Armando Barreto,Xiaole Ma,Shengnan Liu,Min Zhang,Ying Wang,Yeyun Dong,Dezhong Yao",
TAFFC2021,,Towards Disorder-Independent Automatic Assessment of Emotional Competence in Neurological Patients with a Classical Emotion Recognition System: Application in Foreign Accent Syndrome.,,,,"Julia Sidorova,Simon Karlsson,Oliver Rosander,Marcelo L. Berthier,Ignacio Moreno-Torres",
TAFFC2022,,Analyzing Group-Level Emotion with Global Alignment Kernel based Approach.,,,,"Xiaohua Huang,Abhinav Dhall,Roland Goecke,Matti Pietikäinen,Guoying Zhao",
TAFFC2021,,Exploring Macroscopic and Microscopic Fluctuations of Elicited Facial Expressions for Mood Disorder Classification.,,,,"Qian-Bei Hong,Chung-Hsien Wu,Ming-Hsiang Su,Chia-Cheng Chang",
TAFFC2023,,An Emotion Recognition Method for Game Evaluation Based on Electroencephalogram.,,,,"Guanglong Du,Wenpei Zhou,Chunquan Li,Di Li,Peter X. Liu",
TAFFC2021,,Video Affective Content Analysis by Exploring Domain Knowledge.,,,,"Shangfei Wang,Can Wang,Tanfang Chen,Yaxin Wang,Yangyang Shu,Qiang Ji",
TAFFC2021,,Deep Facial Action Unit Recognition and Intensity Estimation from Partially Labelled Data.,,,,"Shangfei Wang,Bowen Pan,Shan Wu,Qiang Ji",
TAFFC2022,,An Active Learning Paradigm for Online Audio-Visual Emotion Recognition.,,,,"Ioannis Kansizoglou,Loukas Bampis,Antonios Gasteratos",
TAFFC2022,,Holistic Affect Recognition Using PaNDA: Paralinguistic Non-Metric Dimensional Analysis.,,,,"Yue Zhang,Felix Weninger,Björn W. Schuller,Rosalind W. Picard",
TAFFC2023,,Human Emotion Recognition With Relational Region-Level Analysis.,,,,"Weixin Li,Xuan Dong,Yunhong Wang",
TAFFC2021,,Improving Cross-Corpus Speech Emotion Recognition with Adversarial Discriminative Domain Generalization (ADDoG).,,,,"John Gideon,Melvin G. McInnis,Emily Mower Provost",
TAFFC2022,,State-Specific and Supraordinal Components of Facial Response to Pain.,,,,"Giada Dirupo,Paolo Garlasco,Cyrielle Chappuis,Gil Sharvit,Corrado Corradi-Dell'Acqua",
TAFFC2021,,Jointly Aligning and Predicting Continuous Emotion Annotations.,,,,"Soheil Khorram,Melvin G. McInnis,Emily Mower Provost",
TAFFC2023,,The Pixels and Sounds of Emotion: General-Purpose Representations of Arousal in Games.,,,,"Konstantinos Makantasis,Antonios Liapis,Georgios N. Yannakakis",
TAFFC2022,,Two-Stage Fuzzy Fusion Based-Convolution Neural Network for Dynamic Emotion Recognition.,,,,"Min Wu,Wanjuan Su,Luefeng Chen,Witold Pedrycz,Kaoru Hirota",
TAFFC2022,,Deep Multi-Task Multi-Label CNN for Effective Facial Attribute Classification.,,,,"Longbiao Mao,Yan Yan,Jing-Hao Xue,Hanzi Wang",
TAFFC2023,,Unsupervised Cross-View Facial Expression Image Generation and Recognition.,,,,"Ning Sun,Qingyi Lu,Wenming Zheng,Jixin Liu,Guang Han",
TAFFC2022,,Issues and Challenges of Aspect-based Sentiment Analysis: A Comprehensive Survey.,,,,"Ambreen Nazir,Yuan Rao,Lianwei Wu,Ling Sun",
TAFFC2023,,A Spontaneous Driver Emotion Facial Expression (DEFE) Dataset for Intelligent Vehicles: Emotions Triggered by Video-Audio Clips in Driving Scenarios.,,,,"Wenbo Li,Yaodong Cui,Yintao Ma,Xingxin Chen,Guofa Li,Guanzhong Zeng,Gang Guo,Dongpu Cao",
TAFFC2022,,Affective Dynamics: Principal Motion Analysis of Temporal Dominance of Sensations and Emotions Data.,,,,"Shogo Okamoto,Yuki Ehara,Takumu Okada,Yoji Yamada",
TAFFC2023,,A Multidimensional Culturally Adapted Representation of Emotions for Affective Computational Simulation and Recognition.,,,,"Joaquín Taverner,Emilio Vivancos,Vicent J. Botti",
TAFFC2022,,A Deeper Look at Facial Expression Dataset Bias.,,,,"Shan Li,Weihong Deng",
TAFFC2023,,STCAM: Spatial-Temporal and Channel Attention Module for Dynamic Facial Expression Recognition.,,,,"Weicong Chen,Dong Zhang,Ming Li,Dah-Jye Lee",
TAFFC2023,,AffectON: Incorporating Affect Into Dialog Generation.,,,,"Zana Buçinca,Yücel Yemez,Engin Erzin,Tevfik Metin Sezgin",
TAFFC2022,,Unsupervised Learning in Reservoir Computing for EEG-Based Emotion Recognition.,,,,"Rahma Fourati,Boudour Ammar,Javier J. Sánchez Medina,Adel M. Alimi",
TAFFC2023,,Emotion-Regularized Conditional Variational Autoencoder for Emotional Response Generation.,,,,"Yu-Ping Ruan,Zhen-Hua Ling",
